COD. ÁREA,ÁREAS,COD. PERFIL,OFERTAS FORMATIVAS,CARGA HORARIA HS. RELOJ,REQUISITOS DE INGRESO,CERTIFI-CADO,CERTIFI-CACION,PROGRAMACIÓN,INSTRUMENTO LEGAL,OBSERVACIONES
,,04,TAPICERO EN MUEBLES,250,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2021,,
,,05,MANTENIMIENTO DE EDIFICIOS,250,Primaria o Equivalente,Nivel II,Ministerial ,Rev. STFP II B,,
,,06,DECORACIÓN DE INTERIORES,175,Ciclo Básico o EGB 3 ,Nivel III,Ministerial ,Rev. STFP II G,,
,,07,INSTALADOR/A DE SISTEMAS DE CIRCUITO CERRADO DE MONITOREO POR CAMARAS,125,Ciclo Básico o EGB 3 ,Nivel III,Ministerial ,DC - FORM - 03 - Equipo de Diseño 2022,,
V, SEGURIDAD Y MEDIO AMBIENTE,01,BOMBERO  Nivel I,469,Primaria o Equivalente,Nivel II,Ministerial  ,DC - FORM - 03 - Equipo de Diseño 2020,Expediente Nº825/2020 ME - Disposicion 02/2020 coord FP,
,,02,GUARDAVIDAS,730,Secundaria o Equivalente ,Nivel III,Ministerial  ,DC - FORM - 03 - Equipo de Diseño 2024,Res. CFE Nº399/21 Anexo IV,
,,03,AGENTE DE POLICÍA,875,Secundario o Equivalente + Punto: II-3 Perfil del Ingresante Diseño Curricular,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2018 ,Res. N° 599/18 M-E,
,,06,BOMBERO Nivel II,350,Bombero Nivel I e Item III.3 Referencial de Ingreso del Marco de Referencia,Nivel III,Ministerial,Marco de Referencia,Res. CFE Nro. 399/2021 Anexo I,
,,07,AGENTE DE SEGURIDAD Y TRATAMIENTO PENITENCIARIO,,Secundario o Equivalente + Punto: II-3 Perfil del Ingresante Diseño Curricular,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2022,CONDICIONAL,CONDICIONAL
VI, COMUNICACIÓN MULTIMEDIAL,01,AUXILIAR EN OPERACIÓN RADIOFÓNICA,250,Primaria o Equivalente + acreditar manejo PC,Nivel II,Ministerial,Rev. STFP II D, Expediente Nº 03/10,
,,02,AUXILIAR EN PRODUCCIÓN RADIOFÓNICA,250,Ciclo Básico o EGB 3 ,Nivel III,Ministerial,, Expediente Nº 18/10,
,,03,AUXILIAR EN REDACCIÓN PARA MEDIOS DE COMUNICACIÓN ,250,Secundaria o Equivalente + Acreditar manejo de PC,Nivel III,Ministerial,Rev. STFP II E, Expediente Nº 24/11,
VII,TURISMO Y HOTELERÍA,02,RECEPCIONISTA DE HOTEL,360,Primaria o Equivalente,Nivel II,Ministerial ,Marco de Referencia,Por Res. CFE Nº 149/11 Anexo 16,
,,03,CAMARERA DE HOTEL,125,Primaria o Equivalente,Nivel II,Ministerial ,DC - FORM. 03 FP Nuevo STFP II - I,,Elaborado por Equip. Área  de Evaluación - Expediente N° 65/15
,,04,MUCAMA,240,Lecto escritura y Cálculo,Nivel I,Ministerial ,Marco de Referencia,Por Res. CFE Nº 149/11 Anexo  11,
,,05,AMA DE LLAVES,360,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE Nº 149/11 Anexo 08,
,,07,ORGANIZADOR DE EVENTOS,360,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE Nº 149/11 Anexo  12,
,,08,ORGANIZADOR DE OPERACIONES HOTELERAS,800,Secundaria o Equivalente ,Nivel III,Ministerial ,,Por Res. CFE Nº 149/11 Anexo 13,
,,11,OPERADOR DE SERV. AGROTURÍSTCOS,500,Secundaria o Equivalente ,Nivel III,Ministerial ,Rev. RED II D, Expediente Nº 17/10,
,,16,ANFITRIÓN TURÍSTICO,125,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2023,,
,,19,COORDINADOR/A TURÍSTICO,450,Secundario o Equivalente,Nivel III,Ministerial  ,Marco de Referencia,Por Res. CFE N° 460/23 Anexo 1,
VIII,GASTRONOMIA,05,MOZO/CAMARERO DE SALÓN ,250,Lecto escritura y Cálculo,Nivel I,Ministerial,Marco de Referencia,Por Res. CFE Nº149/11 Anexo 10,
,,06,RESPONSABLE  DE BARRA,250,Ciclo Básico o EGB 3 - Acreditar Mozo,Nivel III,Ministerial,Rev. STFP II E, Expediente Nº 25/10,
,,08,AUXILIAR DE COCINA,120,Primaria o Equivalente,Nivel II,Ministerial,TF - FORM - 03 - Equipo de Diseño 2023,,
IX, INDUSTRIA ALIMENTARIA,01,AUXILIAR EN ELABORACIÓN DE ALIMENTOS,125,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2018,Expediente N° 86/2018 antes Expediente Nº 11/10 ,
,,06,ELABORACIÓN DE EMBUTIDOS Y CHACINADOS,250,Primaria o Equivalente,Nivel II,Ministerial,Rev. STFP II G,Expediente Nº 46 /12 - Incluye Módulo de Gestión y Comercialización,
,,09,INSPECTOR  EN CONTROL DE ALIMENTOS,250,Secundaria o Equivalente ,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2018,Expediente N° 81/2018 antes Expediente Nº 11/10 ,
,,10,AUXILIAR EN PREPARACIÓN DE SERVICIOS DE CATERING,125,Primaria o Equivalente,Nivel II,Ministerial,Rev. STFP II H, Expediente Nº 56/14,
,,12,ELABORADOR DE QUESOS,450,Secundaria o Equivalente,Nivel III,Ministerial,Marco de Referencia,Por Res. CFE Nº 353/19 Anexo II,
,,13,ELABORADOR DE PRODUCTOS HELADOS,450,Secundaria o Equivalente,Nivel III,Ministerial,,Por Res. CFE Nº 353/19 Anexo III,
,,14,OPERARIO DE MICROCERVECERÍA,125,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2022,,
,,15,OPERADOR DE ELABORACIÓN DE ALIMENTOS,120,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2023,,
,,21,ELABORADOR/A DE PRODUCTOS LÁCTEOS DIVERSIFICADOS,450,Primaria o Equivalente,Nivel II,Ministerial,Marco de Refencia,Por Res. CFE N° 460/23 Anexo 1,
X,INDUSTRIA DE LA MADERA   ,01,"OPERADOR/A DE CLASIFICACION, CORTE Y ARMADO DE BASTIDORES DE MADERA",250,Primaria o Equivalente ,Nivel II,Ministerial,Marco de Referencia,Por Res. CFE N° 399/21 Anexo VI,
,,02,CARPINTERO BÁSICO  ,250,Primaria o Equivalente ,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2018,Expediente N° 83/2018,
,,07,AUXILIAR DE ASERRADERO,200,Lecto escritura y Cálculo,Nivel I,Ministerial  ,Marco de Referencia, Por Res. CFE N° 158/11 Anexo 01,
,,08,OPERADOR DE MÁQUINA PRINCIPAL DE ASERRADERO,250,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 158/11 Anexo 03,
,,09,OPERADOR DE MOLDURERA ,250,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 158/11 Anexo 04,
,,10,OPERADOR DE SALA DE AFILADO ,250,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 158/11 Anexo 02,
,,11,OPERADOR DE SECADO Y TRATAMIENTO TÉRMICO DE LA MADERA,250,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 158/11 Anexo 05,
,,13,CARPINTERO DE OBRA FINA,250,Primaria o Equivalente,Nivel II,Ministerial  ,, Por Res. CFE N° 108/10 Anexo 06,
,,14,OPERADOR DE HERRAMIENTAS Y MÁQUINAS MANUALES DE CARPINTERÍA,120,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2023,,
,,18,ARMADOR Y MONTADOR DE PLATAFORMAS Y ENTRAMADOS DE COMPONENTES EN MADERA,250,Ciclo Básico o EGB 3,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2023,,
