COD. ÁREA,ÁREAS,COD. PERFIL,OFERTAS FORMATIVAS,CARGA HORARIA HS. RELOJ,REQUISITOS DE INGRESO,CERTIFI-CADO,CERTIFI-CACION,PROGRAMACIÓN,INSTRUMENTO LEGAL,OBSERVACIONES
,,05,AUXILIAR ELECTRICISTA INDUSTRIAL,250,Primaria o Equivalente,Nivel II,Ministerial,Diseño Curricular , Res. 36/15 ME-Chubut - Res.  RINET-Homologación N° 377/16,
,,06,ELECTRICISTA INDUSTRIAL,440,Secundaria o Equivalente,Nivel III,Ministerial,, Res. 36/15 ME-Chubut - Res.  RINET-Homologación N° 372/16,
,,07,ELECTRICISTA DE CENTRALES DE GENERACIÓN DE ENERGÍA ELÉCTRICA ,540,Secundaria o Equivalente,Nivel III,Ministerial,Marco de Referencia, Por Res- CFE N° 178/12 Anexo 07,
,,08,ELECTRICISTA DE REDES DE ALTA TENSIÓN,600,Secundaria o Equivalente,Nivel III,Ministerial,, Por Res- CFE N° 178/12 Anexo 08,
,,09,MONTADOR TABLERISTA EN SIST. DE POTENCIA,440,Ciclo Básico o EGB 3 ,Nivel III,Ministerial,, Por Res- CFE N° 178/12 Anexo 11,
,,11,MANTENIMIENTO DE MÁQUINAS Y HERRAMIENTAS ELÉCTRICAS,125,"""Electricista en Inmuebles 12Kva"" o ""Electricista Industrial""",Nivel II,Ministerial  ,Rev. STFP II C,,
,,12,BOBINADOR DE MÁQUINAS ELÉCTRICAS,360,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia, Por Res- CFE N° 178/12 Anexo 12,
,,13,AUXILIAR ELECTRICISTA DE REDES DE DISTRIBUCIÓN DE M/B TENSIÓN,250,Primaria o Equivalente,Nivel II,Ministerial,,Por Res. CFE N° 130/11 Anexo 06,
,,14,ELECTRICISTA DE REDES DE DISTRIBUCIÓN DE M/B TENSIÓN,600,Secundaria o Equivalente,Nivel III,Ministerial,,Por Res. CFE Nº 149/11 Anexo 05,
,,15,INSTALADOR/A Y REPARADOR/A DE EQUIPOS DE CLIMATIZACION,360,Ciclo Básico o EGB 3 ,Nivel III,Ministerial,,Por Res. CFE Nº 399/21 Anexo II,
XXVIII,ELECTROMECÁNICA,01,INSTALADOR DE SISTEMAS DE AUTOMATIZACIÓN,504,Secundaria o Equivalente,Nivel III,Ministerial,Marco de Referencia,Por Res. CFE Nº 353/19 Anexo I,
,,02,AUXILIAR EN AUTOMATIZACIÓN DIGITAL,125,Ciclo Básico o EGB 3  + Acreditar manejo  de P.C.,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2021,,
,,03,MANTENIMIENTO Y REPARACIÓN DE ELECTRODOMESTICOS,250,Priomaria o equivalente  + Acreditar manejo  de P.C.,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2024,,
XXIX,METALMECÁNICA,01,AUXILIAR METALÚRGICO,125,Primaria o Equivalente,Nivel II,Ministerial ,Rev. RED- II E,Expediente Nº 26/10,
,,02,OPERARIO METALÚRGICO,250,"Acreditar ""Herrero básico"" o ""Soldador básico""",Nivel II,Ministerial  ,,Expediente Nº 21/10,
,,03,OPERARIO DE TALLER METALÚRGICO,500,Primaria o Equivalente,Nivel II,Ministerial  ,,Expediente Nº 09/10,
,,04,AUXILIAR HERRERO,130,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2023,,
,,07,SOLDADOR BÁSICO,150,Primaria o Equivalente,Nivel II,Ministerial  ,DC - FORM - 03 - Equipo de Diseño 2023, Por Res. CFE N° 108/10 Anexo 16,
,,08,SOLDADOR NIVEL II - MIG-MAG Y TIG ,125,"Acreditar ""Operario de Taller Metalúrgico"",  ""Herrero básico"" o ""Soldador básico""",Nivel II,Ministerial  ,Rev. RED- II E,Expediente Nº 22/10,
,,10,CARPINTERÍA METÁLICA Y DE PVC,320,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia,Por Res. CFE N° 130/11 Anexo 01,
,,11,TORNERO,300,Primaria o Equivalente,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2025,Por Res CFE N° 48/08 - Anexo 04,
,,12,FRESADO,320,Primaria o Equivalente,Nivel II,Ministerial,,Por Res CFE N° 48/08 - Anexo 05,
,,13,RECTIFICADOR,280,Primaria o Equivalente,Nivel II,Ministerial  ,Marco de Referencia, Por Res CFE N° 108/10 Anexo 15,
,,14,MECÁNICO EN AJUSTE Y TORNERÍA,1500,Ciclo Básico o EGB 3 ,Nivel III,Ministerial  ,Rev. STFP II B,,
,,15,OPERADOR DE MÁQUINAS COMANDADAS A CNC PARA EL ARRANQUE DE VIRUTA,660,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia,Por Res CFE N° 130/11- Anexo 03,
,,16,PROGRAMADOR DE MÁQUINAS COMANDADAS A CNC PARA EL ARRANQUE DE VIRUTA,760,Secundaria o Equivalente,Nivel III,Ministerial  ,,Por Res CFE N° 130/11- Anexo 02,
,,17,PROGRAMADOR Y OPERADOR DE MÁQUINAS COMANDADAS A CNC PARA EL CONFORMADO DE MATERIALES,420,Secundaria o Equivalente,Nivel III,Ministerial,,Por Res. CFE N° 149/11 Anexo 18,
,,18,MODELISTA EN MADERAS,320,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 16,
,,19,MOLDEADOR,250,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 15,
,,20,OPERADOR DE HORNOS PARA TRATAMIENTOS TÉRMICOS,320,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 18,
,,21,OPERADOR DE HORNOS A INDUCCIÓN PARA LA FUSIÓN DE METALES,180,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 19,
,,22,OPERADOR DE HORNO CUBILOTE,250,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 20,
,,23,OPERADOR DE MÁQUINAS E INSTRUMENTOS DE MEDICIÓN,250,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 21,
,,24,AUXILIAR DE LABORATORIO,440,Primaria o Equivalente,Nivel II,Ministerial ,, Por Res- CFE N° 178/12 Anexo 22,
,,25,OPERADOR DE MATRICERÍA,800,Ciclo Básico o EGB 3 ,Nivel III,Ministerial,, Por Res- CFE N° 178/12 Anexo 17,
,,26,ZINGUERO,280,Primaria o Equivalente,Nivel II,Ministerial  ,,Por Res CFE N° 130/11- Anexo 04,
,,27,PLEGADOR,240,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE N° 149/11 Anexo 17,
,,28,AYUDANTE DE TALLER FERROVIARIO,500,Primaria o Equivalente,Nivel II,Ministerial ,Rev. STFP II E,Expediente Nº 32/11,
,,29,OPERARIO INDUSTRIAL MÚLTIPLE,1000, Ciclo Básico o EGB 3 ,Nivel III,Ministerial ,Rev. STFP II H,Expediente Nº 52/13,
XXX,SISTEMAS HIDRÁULICOS Y NEUMÁTICOS,,,,,,,,,
XXXI,CLIMATIZACIÓN Y REFRIGERACIÓN,01,"MEC. DE HELADERAS FAMILIARES , COMERCIALES Y AIRE ACONDICIONADO",250, Ciclo Básico o EGB 3 ,Nivel III,Ministerial ,Rev. STFP II E,Expediente Nº 23/10,
,,02,OPERADOR DE EQUIPOS E INSTALACIONES FRIGORÍFICAS,250,Técnico o Certificar códigos 03 o 05 área XXVII o acreditar actividad afín,Nivel III,Ministerial ,Rev. STFP II D,Expediente N° 10/10 - * Sólo en convenio con empresas para realizar prácticas módulo 11,
XXXII,ARTES Y OFICIOS ARTÍSTICOS,,,,,,,,,
XXXIII,SERVICIOS PARA LA ESTÉTICA PERSONAL,01,PEINADOR/A,125,Ciclo Basico o EGB 3,Nivel II,Ministerial,DC - FORM - 03 - Equipo de diseño 2023,,
,,06,MAQUILLADOR/A,125,Ciclo Basico o EGB 3,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2022,,
,,09,MANICURA,125,Ciclo Basico o EGB 3,Nivel II,Ministerial,,,
,,10,COSMETÓLOGO/A ESTETICISTA,480,Secundario o Equivalente,Nivel III,Ministerial,Marco de Referencia,Res CFE N° 438/22 Anexo I,
XXXIV,SERVICIO PARA LA SALUD,01,AUXILIAR DE FAMILIA ESPECIALIZADO EN CUIDADOS,250,Primaria o Equivalente,Nivel II,Ministerial  ,DC - FORM - 03 - Equipo de Diseño 2021,,
,,02,AUXILIAR EN CUIDADOS GERONTOLÓGICO,380,Primaria o Equivalente,Nivel II,Ministerial  ,Marco de Referencia,Por Res. CFE N° 149/11 Anexo 19,
,,03,OPERADOR SOCIOCOMUNITARIO,250,Secundario o Equivalente,Nivel III,Ministerial  ,DC - FORM - 03 - Nuevo - STFP II ,Expediente N° 71/16,
,,05,AUXILIAR EN CUIDADO DE NIÑOS - NIÑERA/O,250,Ciclo Basico o EGB 3,Nivel II,Ministerial  ,DC - FORM - 03 - Equipo de Diseño 2023,,
XXXV,ADMINISTRACIÓN PUBLICA,03,AUXILIAR DE MANTENIMIENTO EN ESTABLECIMIENTOS Y ÁREAS PÚBLICAS,250,Primaria o Equivalente,Nivel II,Ministerial  ,DC - FORM - 03 - Nuevo - STFP II H,Elaborado por. Área  de Evaluación  Expediente Nº 62/14,
,,04,AUXILIAR ADMINISTRATIVO/CONTABLE PARA INSTITUCIONES EDUCATIVAS  ,250, Secundaria o Equivalente ,Nivel III,Ministerial  ,DC - FORM - 03 - Nuevo - STFP II ,Solo por solicitud de La D.G.E.R.A. y FP Expediente N° 70/16,
,,05,AUXILIAR EN GESTIÓN PARLAMENTARIA,125, Secundaria o Equivalente ,Nivel I,Ministerial,DC - FORM 03- Equipo de diseño 2024,,
XXXVI,DEPORTES Y RECREACIÓN   ,01, MONITOR DEPORTIVO ,200,Primaria o Equivalente,Nivel II,Ministerial  ,DC - FORM - 03 - Nuevo - STFP II ,Expediente N° 73/16,
,,02,ÁRBITRO INFANTO-JUVENIL DE FÚTBOL,200,Primaria o Equivalente,Nivel II,Ministerial  ,,Expediente N° 74/16,
,,03,ÁRBITRO INFANTO-JUVENIL DE HOCKEY,160,Primaria o Equivalente,Nivel II,Ministerial  ,,Expediente N° 75/16,
,,04,GUÍA DE SENDERISMO,456, Secundaria o Equivalente ,Nivel III,Ministerial  ,,Expediente N° 88/18,
,,14,AUXILIAR GUÍA DE PESCA DEPORTIVA,250,Secundario o Equivalente acreditar experiencia en Pesca Recreativa,Nivel III,Ministerial  ,Rev. STFP II C,,
